Identifiant;Nom Etablissement;CodePostal;Code APE;Libelle APE;coordonnees_x;coordonnees_y;COORDONNEE
057.01445;USINE DE LAVANNES;51420;157A;Fabrication d'aliments pour animaux de ferme;730077;2478693;48.2998850155, -2.00650010829
065.05700;LETICO;95650;512A;Commerce de gros de céréales et aliments pour le bétail;579718.463988;2455038.00315;48.2998850155, -2.00650010829
065.06278;ETG;92230;284B;Découpage -  emboutissage;596900;2436500;48.7483713375, -2.98583039067
29142051;SARL DE ROSSIVIN;29190;012E;Elevage de porcins;127200;2372767;48.2797569645, -2.70182975957
301.00274;PFIZER PGM;27106;244C;Fabrication de médicaments;517875;2475111;48.2797569645, -2.70182975957
35115003;C.P.V.B.;35300;513C;Commerce de gros de viandes de boucherie;338689.304359;2379317.10092;48.2395122426, -3.25224543283
061.02893;IMPACT ENVIRONNEMENT SERVICES;38420;3812Z;Collecte des déchets dangereux;873984;2028535;48.6754466841, -2.93171483451
070.00499;PPG AC FRANCE;62620;2030Z;Fabrication de peintures -  vernis -  encres et mastics;617900;2608200;48.5460713557, -3.13226126149
060.00274;VALEO MATERIAUX DE FRICTION;87020;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;517565;2098528;48.5664921482, -3.54213754895
100.01608;SOCCOIM;45380;900B;Enlèvement et traitement des ordures ménagères;557811;2320674;48.5579837164, -3.44932522093
100.02478;GSM;18570;142A;Production de sables et de granulats;596718;2223412;48.2904391392, -3.23101851434
064.00024;SOCIETE GARDANNAISE DE COGENERATION;13541;3530Z;Production et distribution de vapeur et d'air conditionné;853244.91;1832790.36;48.745465834, -3.07002034802
10853981;GAEC GOURAUD;85600;012G;Elevage de volailles;331352;2222489;48.5310037021, -2.26790811415
064.00225;Entrepôt Pétrolier de Puget sur Argens;83480;5210B;Entreposage et stockage non frigorifique;952243;1837875;48.5310037021, -2.26790811415
064.01126;Communauté d'Aglglomé Ouest Etang berre;13500;3811Z;Collecte des déchets non dangereux;819944;1825343;48.1014674191, -2.58214542828
063.03567;COUET Viviane;53200;3831Z;Démantèlement d'épaves;373637;2317478;48.1014674191, -2.58214542828
064.00260;Chaufferie de ST AUGUSTIN;6200;3530Z;Production et distribution de vapeur et d'air conditionné;997458;1868574;48.1014674191, -2.58214542828
79500045;GAEC LA POUPLIERE;79220;0111Z;Culture de céréales (à l'exception du riz) -  de légumineuses et de graines oléagineuses;384911;2165989;48.3853504987, -3.48622708061
061.06652;SICAREV;42450;1011Z;Transformation et conservation de la viande de boucherie;744300;2061600;48.6200854235, -3.0914272918
064.02015;EAUX DE CHORGES STE;5230;1107A;Industrie des eaux de table;913188;1957189;48.6200854235, -3.0914272918
065.05345;Centre de Valorisation Energétique d'Argenteuil;95100;3821Z;Traitement et élimination des déchets non dangereux;593660.222;2439092.03;48.6775056976, -3.29800553168
100.07869;RTI Industries S.A.S.;;;;;;48.4202509181, -2.65749434582
065.03552;GENERIS;78510;3812Z;Collecte des déchets dangereux;575600;2442300;48.2409964586, -2.8848741842
065.09680;SIETOM Tournan en brie;77330;3821Z;Traitement et élimination des déchets non dangereux;627296.04351998;2417511.5939113;48.2409964586, -2.8848741842
065.12239;SOURCE CHANTEREINE;77500;1107A;Industrie des eaux de table;620722;2431118;48.2409964586, -2.8848741842
066.00638;MAJ ELIS PROVENCE;30000;7729Z;Location et location-bail d'autres biens personnels et domestiques;761971;1869874;48.7278448653, -3.38570591792
