VILLE;Code_postal;SUPERFICIE;POPULATION
SAINT-VULBAS;97440;5428.0;54721
SAINT-VULBAS;97480;17785.0;37069
SAINT-VULBAS;88130;576.0;101
SAINT-VULBAS;54580;738.0;412
SAINT-VULBAS;55400;967.0;62
SAINT-VULBAS;57380;1882.0;5459
SAINT-VULBAS;8700;2117.0;1109
SAINT-VULBAS;8140;926.0;2022
SAINT-QUENTIN;8210;3467.0;2245
SAINT-QUENTIN;55250;984.0;66
SOISSONS;54450;390.0;65
BELLERIVE-SUR-ALLIER;55210;1340.0;186
MONTLUCON;8150;989.0;129
MONTLUCON;57280;884.0;10862
MOULINS;67140;2410.0;1799
GANAGOBIE;55130;4026.0;160
GANAGOBIE;67510;912.0;237
GANAGOBIE;67390;778.0;603
GANAGOBIE;8120;2320.0;5354
BIOT;68740;1217.0;825
BIOT;88230;1963.0;90
LA GAUDE;57420;542.0;801
MOUGINS;55190;3557.0;1662
MOUGINS;52410;2090.0;2104
NICE;54720;750.0;192
NICE;88230;3859.0;1768
NICE;55500;2232.0;122
NICE;54385;604.0;197
NICE;52500;4327.0;1430
NICE;52500;1646.0;173
NICE;67600;1359.0;2312
NICE;55000;480.0;60
NICE;52150;771.0;79
NICE;57570;990.0;1108
NICE;55300;1451.0;88
NICE;67500;18359.0;34406
NICE;67310;1598.0;568
NICE;68240;2500.0;2705
NICE;88250;5803.0;4355
NICE;67170;806.0;1181
NICE;55230;1417.0;107
NICE;54470;1921.0;1268
NICE;67340;1228.0;559
NICE;54330;625.0;75
NICE;67480;650.0;1067
NICE;88130;852.0;735
NICE;52190;1242.0;496
NICE;57670;659.0;230
NICE;67420;814.0;486
NICE;55150;994.0;121
NICE;57820;731.0;664
NICE;70000;779.0;161
SAINT-LAURENT-DU-VAR;58170;2606.0;327
VALBONNE;21560;2284.0;2483
VALBONNE;21540;1153.0;70
VALBONNE;21350;1472.0;142
VALBONNE;71120;2019.0;447
VALBONNE;25650;1559.0;717
VALBONNE;25500;1087.0;346
VALBONNE;10290;1824.0;143
VALBONNE;51260;1209.0;165
VALBONNE;;2114.0;624
VALBONNE;51120;2444.0;494
VALBONNE;77520;529.0;213
VALBONNE;77520;627.0;480
VALBONNE;89140;1221.0;439
VALBONNE;89190;2242.0;207
VALBONNE;10100;372.0;211
VALBONNE;77118;2264.0;834
VALBONNE;89260;1794.0;569
VALBONNE;10400;1375.0;294
VALBONNE;10400;1865.0;414
VALBONNE;77320;437.0;164
VALBONNE;10180;1176.0;405
VILLEFRANCHE-SUR-MER;10430;625.0;3648
VILLEFRANCHE-SUR-MER;10280;1224.0;874
VILLEFRANCHE-SUR-MER;10190;2131.0;254
VILLEFRANCHE-SUR-MER;10150;1578.0;1701
