NOM_POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;NOM_DEPARTEMENT
CO2 Total d'origine non biomasse uniquement;49000;48.5615655568, -3.16093185272;055.00323;48.5615655568, -3.16093185272;MANCHE
CO2 Total d'origine biomasse uniquement;309020,3;48.4868617785, -2.90309843931;055.00334;48.4868617785, -2.90309843931;CALVADOS
CO2 Total d'origine biomasse uniquement;1102028;48.6495544528, -3.33718010041;055.00338;48.6495544528, -3.33718010041;MANCHE
Chrome et ses composés (Cr);41457,1;48.5007019134, 2.77045000479;055.00400;48.5007019134, 2.77045000479;MANCHE
Thallium et ses composés;32665962,31;48.4892219754, -2.06546638282;055.00440;48.4892219754, -2.06546638282;MANCHE
Composés organiques volatils non méthaniques (COVNM);960500;47.9254594352, -3.70332414223;055.00506;47.9254594352, -3.70332414223;MANCHE
Hydrochlorofluorocarbures (HCFC);576;48.3554881856, -3.87361981218;055.00520;48.3554881856, -3.87361981218;MANCHE
CO2 Total (CO2 d'origine biomasse et non biomasse);875100;48.3571019042, -3.86952999256;055.00521;48.3571019042, -3.86952999256;MANCHE
Composés organiques volatils non méthaniques (COVNM);32500;48.3939836258, -4.49357774024;055.00595;48.3939836258, -4.49357774024;MANCHE
Composés organiques volatils non méthaniques (COVNM);51400;48.390171579, -4.44447707189;055.00596;48.390171579, -4.44447707189;GUADELOUPE
Hydrochlorofluorocarbures (HCFC);59,52;48.2200018994, 4.33000000421;055.00599;48.2200018994, 4.33000000421;OISE
CO2 Total (CO2 d'origine biomasse et non biomasse);440261,76;48.2759544341, -3.5740130275;055.00607;48.2759544341, -3.5740130275;OISE
CO2 Total d'origine non biomasse uniquement;2123686,001;48.4153252832, -4.50914118326;055.00610;48.4153252832, -4.50914118326;OISE
CO2 Total d'origine biomasse uniquement;1093282,6;48.1070079778, -4.03780048413;055.00616;48.1070079778, -4.03780048413;SOMME
CO2 Total d'origine non biomasse uniquement;26178100;48.282002837, -3.56507742977;055.00644;48.282002837, -3.56507742977;SOMME
Composés organiques volatils non méthaniques (COVNM);133800;47.8811801034, -3.91095520802;055.00701;47.8811801034, -3.91095520802;OISE
CO2 Total (CO2 d'origine biomasse et non biomasse);9097366,281;47.895774467, -3.90561440276;055.00708;47.895774467, -3.90561440276;OISE
CO2 Total (CO2 d'origine biomasse et non biomasse);845300;48.3898019057, -4.26286999238;055.00721;48.3898019057, -4.26286999238;OISE
Hexafluorure de soufre (SF6);532,1;48.0114023537, -4.01691377828;055.00729;48.0114023537, -4.01691377828;OISE
Composés organiques volatils non méthaniques (COVNM);95700;48.076262033, -4.28921889174;055.00732;48.076262033, -4.28921889174;OISE
Composés organiques volatils non méthaniques (COVNM);162300;48.091682316, -4.32756083572;055.00738;48.091682316, -4.32756083572;OISE
Hydrochlorofluorocarbures (HCFC);2367;47.891621633, -4.01509438322;055.00759;47.891621633, -4.01509438322;SOMME
Hydrochlorofluorocarbures (HCFC);403,6;48.0260002476, -4.02105744813;055.00761;48.0260002476, -4.02105744813;OISE
Hydrochlorofluorocarbures (HCFC);480032;48.4295253855, -4.44212074602;055.00830;48.4295253855, -4.44212074602;OISE
Zinc et ses composés (Zn);405;48.3025908942, -4.16701675077;055.00840;48.3025908942, -4.16701675077;YONNE
Hydrochlorofluorocarbures (HCFC);64155;48.5105950526, -4.06971238478;055.00894;48.5105950526, -4.06971238478;AUBE
Composés organiques volatils non méthaniques (COVNM);474500;47.8064018755, -3.62866999272;055.00956;47.8064018755, -3.62866999272;YONNE
CO2 Total (CO2 d'origine biomasse et non biomasse);2008400;48.4536599608, -4.23767376242;055.00976;48.4536599608, -4.23767376242;YONNE
Composés organiques volatils non méthaniques (COVNM);188300;48.450330575, -4.24996148157;055.00977;48.450330575, -4.24996148157;YONNE
Composés organiques volatils non méthaniques (COVNM);94000;47.8654033015, -4.22066428347;055.01127;47.8654033015, -4.22066428347;YONNE
Hydrochlorofluorocarbures (HCFC);4784;47.9955791051, -4.09979719645;055.01145;47.9955791051, -4.09979719645;YONNE
Composés organiques volatils non méthaniques (COVNM);186200;48.0011400292, -4.14792086182;055.01174;48.0011400292, -4.14792086182;YONNE
Hydrochlorofluorocarbures (HCFC);3113540;48.0110018861, -4.11867999249;055.01191;48.0110018861, -4.11867999249;HAUTE-MARNE
CO2 Total (CO2 d'origine biomasse et non biomasse);31936628;47.9964559371, -4.07366804232;055.01193;47.9964559371, -4.07366804232;AUBE
Hydrochlorofluorocarbures (HCFC);60595,6;47.8613150911, -3.56711610144;055.01214;47.8613150911, -3.56711610144;COTE-D'OR
Composés organiques volatils non méthaniques (COVNM);2241000;48.265747297, -4.08302752013;055.01351;48.265747297, -4.08302752013;AUBE
Protoxyde d'azote (N2O);169700;48.2650222656, -4.09149175427;055.01352;48.2650222656, -4.09149175427;AUBE
Composés organiques volatils non méthaniques (COVNM);434107;47.6900018698, -2.0599999934;055.01363;47.6900018698, -2.0599999934;AUBE
Hydrochlorofluorocarbures (HCFC);81159;48.2934764119, -1.94624372165;055.01365;48.2934764119, -1.94624372165;MARNE
Composés organiques volatils non méthaniques (COVNM);11713078;48.0414372423, -1.71223157374;055.01387;48.0414372423, -1.71223157374;AISNE
Composés organiques volatils non méthaniques (COVNM);805331;48.0686018908, 1.39705000527;055.01399;48.0686018908, 1.39705000527;SEINE-ET-MARNE
Hydroflurocarbures (HFC);336;48.3517754181, -1.19990075177;055.01415;48.3517754181, -1.19990075177;AISNE
Composés organiques volatils non méthaniques (COVNM);373500;47.9600018842, -1.80999999348;055.01424;47.9600018842, -1.80999999348;AISNE
Hydrochlorofluorocarbures (HCFC);75352;48.1247113517, -1.82454264434;055.01430;48.1247113517, -1.82454264434;AISNE
Hydrochlorofluorocarbures (HCFC);501;47.9561149256, -1.49187908359;055.01434;47.9561149256, -1.49187908359;AISNE
CO2 Total d'origine non biomasse uniquement;350900;48.3344684368, -1.18458595029;055.01438;48.3344684368, -1.18458595029;AISNE
Méthanol (alcool méthylique);59246,76;48.2334546798, -1.50847929197;055.01441;48.2334546798, -1.50847929197;AISNE
Chlorofluorocarbures (CFC);2495;48.2134947946, -1.50798668637;055.01443;48.2134947946, -1.50798668637;AISNE
Hydrochlorofluorocarbures (HCFC);5;48.2137736283, -1.51404146232;055.01444;48.2137736283, -1.51404146232;AISNE
CO2 Total (CO2 d'origine biomasse et non biomasse);318171;48.1922577146, -2.05249960572;055.01461;48.1922577146, -2.05249960572;AISNE
Composés organiques volatils non méthaniques (COVNM);705797;47.6458281957, -2.09162079086;055.01485;47.6458281957, -2.09162079086;AISNE
CO2 Total d'origine non biomasse uniquement;9226300;47.6546831399, -2.10083980067;055.01486;47.6546831399, -2.10083980067;AISNE
CO2 Total (CO2 d'origine biomasse et non biomasse);16906973;47.9097618501, -1.39345167096;055.01488;47.9097618501, -1.39345167096;AISNE
CO2 Total (CO2 d'origine biomasse et non biomasse);202000;48.1098980489, -1.68523586913;055.01498;48.1098980489, -1.68523586913;MARNE
Trichloroéthylène (TRI);1138730;48.109549097, -1.72097157306;055.01502;48.109549097, -1.72097157306;MARNE
CO2 Total d'origine biomasse uniquement;3342270,29;48.1300018931, -1.69999999351;055.01504;48.1300018931, -1.69999999351;MARNE
CO2 Total (CO2 d'origine biomasse et non biomasse);2119600;48.0816694214, -1.66350802398;055.01505;48.0816694214, -1.66350802398;MARNE
CO2 Total d'origine non biomasse uniquement;483700;48.4151029173, -1.36257905053;055.01512;48.4151029173, -1.36257905053;AISNE
Méthanol (alcool méthylique);97813,4;48.0679653355, -1.71479643741;055.01522;48.0679653355, -1.71479643741;MARNE
CO2 Total d'origine non biomasse uniquement;46900;48.6397574061, -2.00753607797;055.01532;48.6397574061, -2.00753607797;AUBE
CO2 Total (CO2 d'origine biomasse et non biomasse);125030;48.6397574061, -2.00753607797;055.01533;48.6397574061, -2.00753607797;MARNE
Trichloroéthylène (TRI);142300;48.1239256297, -1.21099177066;055.01535;48.1239256297, -1.21099177066;AUBE
Fluor et ses composés (F);22;48.3308374458, -1.16994057139;055.01546;48.3308374458, -1.16994057139;SEINE-ET-MARNE
Composés organiques volatils non méthaniques (COVNM);173100;48.075976945, -1.26237216803;055.01557;48.075976945, -1.26237216803;YONNE
Composés organiques volatils non méthaniques (COVNM);32800;48.0550845249, -1.60601953763;055.01563;48.0550845249, -1.60601953763;AUBE
Composés organiques volatils non méthaniques (COVNM);184100;48.1116461639, -1.18297256582;055.01569;48.1116461639, -1.18297256582;YONNE
CO2 Total d'origine biomasse uniquement;199050;48.1130018924, -1.18449999372;055.01573;48.1130018924, -1.18449999372;SEINE-ET-MARNE
CO2 Total d'origine non biomasse uniquement;93000;48.1041283764, -1.1680093947;055.01574;48.1041283764, -1.1680093947;AUBE
CO2 Total (CO2 d'origine biomasse et non biomasse);151300;48.1116325176, -1.1816275771;055.01575;48.1116325176, -1.1816275771;SEINE-ET-MARNE
Hydrochlorofluorocarbures (HCFC);240,2;48.1201605733, -1.22888610062;055.01576;48.1201605733, -1.22888610062;SEINE-ET-MARNE
CO2 Total d'origine non biomasse uniquement;174000;47.6359130742, -2.16488661637;055.01580;47.6359130742, -2.16488661637;SEINE-ET-MARNE
Hydrochlorofluorocarbures (HCFC);2586;48.0562305865, -2.76251730711;055.01667;48.0562305865, -2.76251730711;MARNE
Sulfure d'hydrogène (H2S);203274;47.9048194747, -2.12182639962;055.01710;47.9048194747, -2.12182639962;AUBE
Hydrochlorofluorocarbures (HCFC);2480806;47.6147638747, -2.54062976773;055.01788;47.6147638747, -2.54062976773;AUBE
Hydrochlorofluorocarbures (HCFC);3024;48.0545305294, -2.8610575603;055.01888;48.0545305294, -2.8610575603;AUBE
Hydrochlorofluorocarbures (HCFC);5807652;47.7555279226, -2.37020785749;055.01903;47.7555279226, -2.37020785749;AUBE
Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq);213343,4013;47.6209790067, -3.1183948167;055.01941;47.6209790067, -3.1183948167;AUBE
CO2 Total d'origine non biomasse uniquement;352310;48.0469303175, -2.96400229382;055.01977;48.0469303175, -2.96400229382;AISNE
CO2 Total (CO2 d'origine biomasse et non biomasse);512327,16;48.0508041371, -2.96547495011;055.01981;48.0508041371, -2.96547495011;AISNE
Zinc et ses composés (Zn);235488;48.0856409288, -2.27150620925;055.02048;48.0856409288, -2.27150620925;YONNE
Hydrochlorofluorocarbures (HCFC);167906;48.0655080606, -2.96892676022;055.02060;48.0655080606, -2.96892676022;YONNE
Composés organiques volatils non méthaniques (COVNM);72600;47.6583127092, -2.75517236103;055.02140;47.6583127092, -2.75517236103;YONNE
Hydrochlorofluorocarbures (HCFC);8221;48.3400306646, -3.64261570223;055.03363;48.3400306646, -3.64261570223;YONNE
CO2 Total (CO2 d'origine biomasse et non biomasse);359800;47.1569096601, -1.63925090248;055.03394;47.1569096601, -1.63925090248;YONNE
Composés organiques volatils non méthaniques (COVNM);252900;48.0578018893, -1.87538999344;055.03418;48.0578018893, -1.87538999344;SEINE-MARITIME
Composés organiques volatils non méthaniques (COVNM);34500;47.6513757748, -2.0848046149;055.03420;47.6513757748, -2.0848046149;CALVADOS
Composés organiques volatils non méthaniques (COVNM);1532300;47.8245422409, -1.84272237076;055.03421;47.8245422409, -1.84272237076;MEUSE
Composés organiques volatils non méthaniques (COVNM);261700;48.102597099, -1.62332511467;055.03446;48.102597099, -1.62332511467;VOSGES
Composés organiques volatils non méthaniques (COVNM);212200;48.0938097885, -1.62890141304;055.03518;48.0938097885, -1.62890141304;ISERE
Méthane (CH4);845000;47.9682774324, -2.50891380088;055.03549;47.9682774324, -2.50891380088;MAINE-ET-LOIRE
Méthane (CH4);3084006;47.5250275206, -2.70645882989;055.03558;47.5250275206, -2.70645882989;DROME
Fluor et ses composés (F);546317;48.0726780846, -1.30527760977;055.03680;48.0726780846, -1.30527760977;HAUTES-PYRENEES
Méthane (CH4);11334200;48.0970018911, -2.81716999304;055.03729;48.0970018911, -2.81716999304;LOIRE-ATLANTIQUE
Méthane (CH4);1216080,435;47.7023190132, -2.53352755574;055.03739;47.7023190132, -2.53352755574;GERS
Composés organiques volatils non méthaniques (COVNM);461800;48.072820355, -3.21326104318;055.03774;48.072820355, -3.21326104318;GIRONDE
Dichlorométhane (DCM - chlorure de méthylène);10562;47.7194459458, -1.73420583651;055.03883;47.7194459458, -1.73420583651;ILLE-ET-VILAINE
Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq);10400,182;48.3889219056, -4.4488199923;055.03914;48.3889219056, -4.4488199923;ESSONNE
CO2 Total d'origine non biomasse uniquement;132300;48.1098980489, -1.68523586913;055.04122;48.1098980489, -1.68523586913;ESSONNE
Méthane (CH4);609000;47.7625785479, -1.68831199878;055.04337;47.7625785479, -1.68831199878;SEINE-ET-MARNE
Hydrochlorofluorocarbures (HCFC);2445;48.6323943801, -1.98114978425;055.04457;48.6323943801, -1.98114978425;SEINE-ET-MARNE
Composés organiques volatils non méthaniques (COVNM);646000;47.8476587445, -1.67583463101;055.05063;47.8476587445, -1.67583463101;SEINE-ET-MARNE
Composés organiques volatils non méthaniques (COVNM);484100;47.6513757748, -2.0848046149;055.07239;47.6513757748, -2.0848046149;SEINE-ET-MARNE
Trichloroéthylène (TRI);20830;48.5939019168, -2.0871599933;055.09696;48.5939019168, -2.0871599933;SEINE-ET-MARNE
Méthane (CH4);277000;48.070326731, -1.93204342132;055.12251;48.070326731, -1.93204342132;SEINE-ET-MARNE
Tétrachloroéthylène (PER - perchloroéthylène);122710;48.091682316, -4.32756083572;055.12690;48.091682316, -4.32756083572;SEINE-ET-MARNE
Méthane (CH4);4631072,7;47.8448171771, -3.26521394492;055.12795;47.8448171771, -3.26521394492;EURE
Méthane (CH4);212000,031;47.3528897684, -3.20091921405;055.12875;47.3528897684, -3.20091921405;SEINE-MARITIME
Méthane (CH4);1460000;47.9149823554, -3.33387760378;055.12876;47.9149823554, -3.33387760378;CALVADOS
Hydroflurocarbures (HFC);203;48.0714885186, -1.30416107269;055.13901;48.0714885186, -1.30416107269;CALVADOS
CO2 Total (CO2 d'origine biomasse et non biomasse);541200;47.88528995, -3.541522294;055.14051;47.88528995, -3.541522294;CALVADOS
Vanadium et ses composés;170800,27;47.7462000408, -3.33766191714;055.14248;47.7462000408, -3.33766191714;CALVADOS
Méthane (CH4);120000;48.1098980489, -1.68523586913;055.14668;48.1098980489, -1.68523586913;CALVADOS
Ammoniac (NH3);179500;48.3327173396, -2.82877026818;055.14693;48.3327173396, -2.82877026818;ORNE
Méthane (CH4);133000;47.9317018819, -4.19589999246;055.15271;47.9317018819, -4.19589999246;CALVADOS
Composés organiques volatils non méthaniques (COVNM);831000;47.7462570882, -2.10238384501;055.15787;47.7462570882, -2.10238384501;CALVADOS
Composés organiques volatils non méthaniques (COVNM);92800;47.0659870653, -1.10611228075;055.16990;47.0659870653, -1.10611228075;CALVADOS
CO2 Total d'origine biomasse uniquement;482000;48.0797018905, -1.66578299353;055.17386;48.0797018905, -1.66578299353;CALVADOS
Composés organiques volatils non méthaniques (COVNM);1021000;45.2462969632, 4.27364462472;056.00006;45.2462969632, 4.27364462472;EURE
Composés organiques volatils non méthaniques (COVNM);830900;46.592507655, 3.31137418206;056.00007;46.592507655, 3.31137418206;EURE
Vanadium et ses composés;1388025,02;46.256254911, 3.28094102352;056.00010;46.256254911, 3.28094102352;EURE
Composés organiques volatils non méthaniques (COVNM);50007784,29;46.2667000005, 2.80000000095;056.00022;46.2667000005, 2.80000000095;EURE
Chrome et ses composés (Cr);343988,31;46.2667000005, 2.80000000095;056.00023;46.2667000005, 2.80000000095;ORNE
CO2 Total d'origine non biomasse uniquement;1143761,899;46.5332999975, 3.75000000487;056.00041;46.5332999975, 3.75000000487;EURE
Méthane (CH4);3952000,008;46.4783309635, 2.6517026603;056.00060;46.4783309635, 2.6517026603;CALVADOS
Composés organiques volatils non méthaniques (COVNM);727400;46.3528605241, 2.60164180804;056.00068;46.3528605241, 2.60164180804;CALVADOS
Zinc et ses composés (Zn);366;46.3332999974, 2.60000001029;056.00069;46.3332999974, 2.60000001029;CALVADOS
CO2 Total (CO2 d'origine biomasse et non biomasse);28000;46.3397724228, 2.60819026563;056.00072;46.3397724228, 2.60819026563;EURE
CO2 Total d'origine non biomasse uniquement;223481,16;46.3721391787, 2.59064824602;056.00074;46.3721391787, 2.59064824602;EURE
Zinc et ses composés (Zn);1450,112;46.3205457693, 2.95336085928;056.00075;46.3205457693, 2.95336085928;EURE
Vanadium et ses composés;0,0706;44.9142431735, 2.43214220806;056.00134;44.9142431735, 2.43214220806;EURE
Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2);164000;45.1074119089, 2.86868240607;056.00149;45.1074119089, 2.86868240607;EURE
CO2 Total (CO2 d'origine biomasse et non biomasse);158600;45.2863742463, 2.66658222537;056.00155;45.2863742463, 2.66658222537;EURE
Composés organiques volatils non méthaniques (COVNM);114000;44.8829189985, 2.34853811549;056.00164;44.8829189985, 2.34853811549;EURE
Composés organiques volatils non méthaniques (COVNM);79700;44.9804183668, 2.62471772937;056.00165;44.9804183668, 2.62471772937;EURE
Composés organiques volatils non méthaniques (COVNM);1150700;45.3833000034, 2.46667000034;056.00166;45.3833000034, 2.46667000034;EURE
Composés organiques volatils non méthaniques (COVNM);281410,93;45.053094185, 3.97095463531;056.00174;45.053094185, 3.97095463531;EURE
CO2 Total d'origine non biomasse uniquement;163025,9;45.2013882328, 3.50721065838;056.00203;45.2013882328, 3.50721065838;EURE
Naphthalène;53460;45.048912294, 3.85170682059;056.00212;45.048912294, 3.85170682059;SARTHE
Dichlorométhane (DCM - chlorure de méthylène);289800;45.1158204903, 3.50058334922;056.00219;45.1158204903, 3.50058334922;SARTHE
Composés organiques volatils non méthaniques (COVNM);559000;45.2741631068, 4.18876465181;056.00220;45.2741631068, 4.18876465181;SARTHE
CO2 Total d'origine non biomasse uniquement;43200;45.1885474703, 3.49888697116;056.00230;45.1885474703, 3.49888697116;SARTHE
Composés organiques volatils non méthaniques (COVNM);360900;45.0690251333, 3.74904775548;056.00231;45.0690251333, 3.74904775548;SARTHE
Composés organiques volatils non méthaniques (COVNM);122000;45.3953534636, 3.3277363553;056.00243;45.3953534636, 3.3277363553;SARTHE
Hydroflurocarbures (HFC);467816;45.0499826146, 3.96841378208;056.00245;45.0499826146, 3.96841378208;LOIR-ET-CHER
Composés organiques volatils non méthaniques (COVNM);41000;45.2462969632, 4.27364462472;056.00252;45.2462969632, 4.27364462472;LOIR-ET-CHER
Composés organiques volatils non méthaniques (COVNM);559500;45.2501150931, 4.35699073728;056.00257;45.2501150931, 4.35699073728;SARTHE
Composés organiques volatils non méthaniques (COVNM);416600;45.2469326358, 4.23835622871;056.00259;45.2469326358, 4.23835622871;ORNE
Composés organiques volatils non méthaniques (COVNM);1765100;45.2463017335, 4.23120000405;056.00262;45.2463017335, 4.23120000405;EURE-ET-LOIR
Composés organiques volatils non méthaniques (COVNM);181300;45.2443463105, 4.23647165057;056.00263;45.2443463105, 4.23647165057;ORNE
Composés organiques volatils non méthaniques (COVNM);664300;45.2506755294, 4.33191428;056.00264;45.2506755294, 4.33191428;ORNE
Composés organiques volatils non méthaniques (COVNM);1278300;45.254646113, 4.24328964857;056.00266;45.254646113, 4.24328964857;EURE-ET-LOIR
CO2 Total d'origine non biomasse uniquement;2017952,32;45.9166999956, 2.8000000031;056.00289;45.9166999956, 2.8000000031;EURE-ET-LOIR
Tétrachloroéthylène (PER - perchloroéthylène);10670;45.513001749, 3.2640000044;056.00300;45.513001749, 3.2640000044;LOIRET
Hydroflurocarbures (HFC);282,61;45.77482597, 3.07228381716;056.00305;45.77482597, 3.07228381716;LOIRET
Composés organiques volatils non méthaniques (COVNM);1107848,1;45.7832999999, 3.08333000519;056.00326;45.7832999999, 3.08333000519;LOIRET
CO2 Total d'origine non biomasse uniquement;1914298,1;45.7922929149, 3.10537823495;056.00328;45.7922929149, 3.10537823495;YVELINES
Hydrochlorofluorocarbures (HCFC);38;45.7833804583, 3.09192606136;056.00329;45.7833804583, 3.09192606136;EURE-ET-LOIR
CO2 Total (CO2 d'origine biomasse et non biomasse);824700;45.8015293197, 3.12328030618;056.00332;45.8015293197, 3.12328030618;EURE-ET-LOIR
CO2 Total d'origine non biomasse uniquement;21800;45.771333787, 3.08339657971;056.00333;45.771333787, 3.08339657971;EURE-ET-LOIR
CO2 Total (CO2 d'origine biomasse et non biomasse);2646600;45.8000000033, 3.16666999861;056.00334;45.8000000033, 3.16666999861;SEINE-ET-MARNE
Hydroflurocarbures (HFC);468;45.8031336194, 3.13381970202;056.00335;45.8031336194, 3.13381970202;LOIRET
Trichloroéthylène (TRI);15802,1;45.8333000031, 3.14999999917;056.00365;45.8333000031, 3.14999999917;LOIRET
Chlore;69452,87;45.5446154675, 3.24902423982;056.00369;45.5446154675, 3.24902423982;LOIRET
CO2 Total (CO2 d'origine biomasse et non biomasse);83800;45.5584674102, 3.25164794904;056.00370;45.5584674102, 3.25164794904;LOIRET
CO2 Total d'origine non biomasse uniquement;2289857,031;45.5500000031, 3.25000000314;056.00372;45.5500000031, 3.25000000314;LOIRET
Composés organiques volatils non méthaniques (COVNM);1892700;45.7832997163, 3.43333006008;056.00377;45.7832997163, 3.43333006008;LOIRET
Tétrachloroéthylène (PER - perchloroéthylène);54000;45.877451799, 3.63861316129;056.00392;45.877451799, 3.63861316129;SEINE-ET-MARNE
Hydroflurocarbures (HFC);161,081;45.8861104501, 3.11403476763;056.00410;45.8861104501, 3.11403476763;LOIRET
Hydroflurocarbures (HFC);466;45.8907222925, 3.11327543427;056.00412;45.8907222925, 3.11327543427;SEINE-ET-MARNE
Phénols (Ctotal);37292140;46.1670395992, 2.8313419361;056.00419;46.1670395992, 2.8313419361;SEINE-ET-MARNE
Cobalt et ses composés (Co);993;45.9510329065, 2.8483427649;056.00420;45.9510329065, 2.8483427649;ESSONNE
CO2 Total d'origine non biomasse uniquement;29898424,59;45.645869611, 3.70232255142;056.00463;45.645869611, 3.70232255142;ESSONNE
CO2 Total (CO2 d'origine biomasse et non biomasse);13344;45.6833000025, 3.25000000852;056.00465;45.6833000025, 3.25000000852;VAL-DE-MARNE
CO2 Total d'origine non biomasse uniquement;61100;46.2589051859, 3.28358126885;056.01310;46.2589051859, 3.28358126885;ESSONNE
Ammoniac (NH3);17200;45.0595237693, 2.17916866225;056.01323;45.0595237693, 2.17916866225;ESSONNE
Méthane (CH4);374000;45.1456111528, 3.9860453429;056.01326;45.1456111528, 3.9860453429;LOIR-ET-CHER
Méthane (CH4);1703000,029;45.1549644497, 4.29423000056;056.01327;45.1549644497, 4.29423000056;ESSONNE
Fluor et ses composés (F);9;46.2499999964, 3.26667000922;056.01367;46.2499999964, 3.26667000922;YVELINES
CO2 Total d'origine non biomasse uniquement;271400;46.5631147107, 3.32578216995;056.01391;46.5631147107, 3.32578216995;YVELINES
Composés organiques volatils non méthaniques (COVNM);492500;45.2351017329, 4.41107000399;056.01394;45.2351017329, 4.41107000399;EURE-ET-LOIR
Composés organiques volatils non méthaniques (COVNM);88700;45.2443463105, 4.23647165057;056.01395;45.2443463105, 4.23647165057;EURE-ET-LOIR
CO2 Total (CO2 d'origine biomasse et non biomasse);2839950;45.0400017209, 3.07000000443;056.01405;45.0400017209, 3.07000000443;EURE-ET-LOIR
Ammoniac (NH3);55000;45.9806220489, 3.20302004009;056.01460;45.9806220489, 3.20302004009;LOIR-ET-CHER
Hydrochlorofluorocarbures (HCFC);2369;45.8351028927, 3.13236333751;056.01498;45.8351028927, 3.13236333751;EURE-ET-LOIR
Méthane (CH4);1720000;46.5745488834, 3.36363276719;056.01539;46.5745488834, 3.36363276719;LOIRET
Méthane (CH4);1512200;45.5632344099, 2.98973711246;056.01634;45.5632344099, 2.98973711246;EURE-ET-LOIR
Méthane (CH4);9810337,41;45.7661958732, 3.16663607262;056.01635;45.7661958732, 3.16663607262;EURE-ET-LOIR
Méthane (CH4);1587862;45.8952772082, 2.71933265515;056.01646;45.8952772082, 2.71933265515;EURE-ET-LOIR
Méthane (CH4);1581001,22;45.6245413261, 2.62789643535;056.01647;45.6245413261, 2.62789643535;EURE-ET-LOIR
CO2 Total d'origine non biomasse uniquement;1479000;45.771333787, 3.08339657971;056.01686;45.771333787, 3.08339657971;EURE-ET-LOIR
Composés organiques volatils non méthaniques (COVNM);1772000;45.6140818207, 3.21521743566;056.01696;45.6140818207, 3.21521743566;YVELINES
CO2 Total (CO2 d'origine biomasse et non biomasse);2129600;46.2727729492, 3.30144232481;056.01749;46.2727729492, 3.30144232481;ESSONNE
Méthane (CH4);2703000;46.4741679121, 2.64083088136;056.01778;46.4741679121, 2.64083088136;MARNE
Chlorofluorocarbures (CFC);246;45.7395327704, 3.19612796662;056.01876;45.7395327704, 3.19612796662;MARNE
Composés organiques volatils non méthaniques (COVNM);975000;45.2516514971, 4.25021256477;056.02301;45.2516514971, 4.25021256477;MARNE
CO2 Total d'origine biomasse uniquement;25800;45.806142279, 3.10234274387;056.02390;45.806142279, 3.10234274387;HAUTE-MARNE
CO2 Total (CO2 d'origine biomasse et non biomasse);21400;45.8000467, 3.12204056829;056.02391;45.8000467, 3.12204056829;ARDENNES
Composés organiques volatils non méthaniques (COVNM);89300;45.2512544338, 4.26532750404;056.02647;45.2512544338, 4.26532750404;DROME
Composés organiques volatils non méthaniques (COVNM);72400;45.2462969632, 4.27364462472;056.2210;45.2462969632, 4.27364462472;PYRENEES-ATLANTIQUES
Composés organiques volatils non méthaniques (COVNM);78300;45.2521593214, 4.25703231786;056.2220;45.2521593214, 4.25703231786;VENDEE
Oxydes d'azote (NOx - NO + NO2) (en eq. NO2);2903783,9;48.7234185366, 4.58944869978;057.00606;48.7234185366, 4.58944869978;LANDES
CO2 Total (CO2 d'origine biomasse et non biomasse);698054,79;48.7686453359, 4.8361461167;057.00795;48.7686453359, 4.8361461167;PAS-DE-CALAIS
Phénols (Ctotal);12803,72;50.1107019916, 4.76637000419;057.01054;50.1107019916, 4.76637000419;NORD
Dichlorométhane (DCM - chlorure de méthylène);1320;49.7950000004, 4.6105555599;057.01064;49.7950000004, 4.6105555599;PYRENEES-ATLANTIQUES
Trichloroéthylène (TRI);14500;49.7745999225, 4.72908729617;057.01070;49.7745999225, 4.72908729617;MEURTHE-ET-MOSELLE
CO2 Total (CO2 d'origine biomasse et non biomasse);3949203,8;49.8858033677, 4.38585224456;057.01080;49.8858033677, 4.38585224456;MEUSE
Aniline;222,94;50.1359288613, 4.8261101024;057.01085;50.1359288613, 4.8261101024;HAUT-RHIN
Chlore;4412,4;49.8845324841, 4.74086611677;057.01102;49.8845324841, 4.74086611677;LANDES
Hydrocarbures aromatiques polycycliques (HAP);2943,9;49.9355912958, 4.62562688577;057.01114;49.9355912958, 4.62562688577;CANTAL
Composés organiques volatils non méthaniques (COVNM);374000;49.9201933856, 4.51964044948;057.01121;49.9201933856, 4.51964044948;HAUTE-SAONE
CO2 Total (CO2 d'origine biomasse et non biomasse);473528;49.7866066429, 4.47847508532;057.01122;49.7866066429, 4.47847508532;RHONE
Cadmium et ses composés (Cd);5918115,392;49.7315990651, 4.70999667483;057.01128;49.7315990651, 4.70999667483;INDRE
Monoxyde de carbone (CO);3825300;49.7350379822, 4.82086753165;057.01131;49.7350379822, 4.82086753165;YONNE
Benzène;4635630;49.7319390788, 4.83775821276;057.01132;49.7319390788, 4.83775821276;HAUTE-SAONE
Benzène;3609300;49.7292878746, 4.83474510916;057.01133;49.7292878746, 4.83474510916;LOIRE-ATLANTIQUE
Acide fluorhydrique (flurorure d'hydrogène);2604,7;49.6998763061, 4.86959700865;057.01139;49.6998763061, 4.86959700865;ILLE-ET-VILAINE
