NOM_DU_SITE;GROUPE_DE_DECHETS;CATEGORIE;FAMILLE IN;VEC;ACTIVITE ( Bq);COORDONNEE
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;11,9695;54900000;49.3786952648, 4.28577331721
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;259,9257;660500000;49.4113113962, 4.30196881028
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;0,0413;187600;49.4113113962, 4.30196881028
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;24,2029;67600000;49.4113113962, 4.30196881028
CERN - SITE DE PREVESSIN-MOENS;Déchets non métalliques;FMA-VC;F3-9-01;6,2031;39900000000;49.4145327202, 4.24013013472
CERN - SITE DE PREVESSIN-MOENS;Déchets non métalliques;TFA;TFA;640,6205;7300000000;49.4395295848, 4.28571641726
CERN - SITE DE PREVESSIN-MOENS;Déchets non métalliques;TFA;TFA;114,1977;1100000000;48.6176579435, 4.00623147518
CERN - SITE DE PREVESSIN-MOENS;Déchets non métalliques;TFA;TFA;435,7472;243300000;48.5506963939, 4.36777313882
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;VTC;DGD;0,179;-;48.5506963939, 4.36777313882
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-7-01;0;;48.5122166021, 4.24852622672
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-7-01;0;;47.4112421706, 1.0895544323
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-7-01;0;;48.6357319111, 4.11197120688
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-7-01;0,063672;;48.6357319111, 4.11197120688
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-01;0,0002022;;46.9612006463, -0.995354419268
ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION DE RADIOPHARMACEUTIQUES;;FMA-VC;F3-01;0,494716;;47.0018390888, -1.33167939307
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;45,076;6,30E+16;46.8703207706, -1.01720000732
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;0,816;1,10E+15;46.8337013829, -0.859797769873
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;16,385;2,30E+16;46.7398266238, -1.60593713855
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;4,264;6,00E+15;47.0503884658, -1.26569128428
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;AUTRES;S01;-;2,50E+14;46.9479590316, -1.19386678238
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;0,99;1,40E+15;46.7940186096, -0.925883178424
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;0,174;2,40E+14;46.7940186096, -0.925883178424
EDF - BUGEY - CNPE;Déchets de Moyenne Activité à Vie Longue entreposés en piscine;MA-VL;F2-2-03;1,881;2,60E+15;46.7834709221, -1.62336857098
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;3;17800000;46.892603456, -1.25037724224
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;1;3950000;46.665673861, -0.793010203493
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;3;8900000;46.8337013829, -0.859797769873
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-02;1,384;8660000;46.8703207706, -1.01720000732
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-2-15;93,38;16300000000;46.8703207706, -1.01720000732
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;31,92;1470000000;46.7548956399, -1.6858230563
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;13,3;440000000;46.9059242522, -1.4520881381
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;0,41;4490000;46.5946014727, -1.18204406822
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;26,65;240000000;46.8304962829, -1.27053271993
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;0,36;36000000;46.832880014, -1.19323055063
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;24,8;400000;46.8224469621, -1.35879380362
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-2-15;8,55055;11200000000;46.8503434916, -1.1761947178
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;66,8;650000000;46.6010930841, -0.72390978466
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;3,208348;7040000000;46.8293618536, -0.882590487822
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;DIV3;0,23464;8490000000;46.6969563891, -0.699202284694
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-2-15;0,36002;940000000;43.2686969164, 1.94368572828
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;DIV3;1,03324;620000000;43.4043717491, 1.94955768609
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;13,23268;5600000000;44.5686440293, 2.58817697968
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;0;9000000;44.388673088, 2.36304856628
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;0;1,60E+12;43.4811460018, 5.62281522725
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;DIV3;28,6982;1,80E+11;49.321654605, -0.797817705364
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;13,1397;33500000000;45.8924089909, 0.389531396078
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;0,51037;4,20E+11;45.6166684542, 0.100000005558
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-2-15;0,04743;22000000000;45.5112866715, -0.137213947312
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;2,17434;8790000;45.7960877439, 0.49468419965
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;0,048906;11700000000;46.0242144189, -0.303245067805
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;DIV3;3,31047;3,70E+11;45.7471525926, -0.637908037884
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-01;0,33174;7800000000;45.671289352, -0.78754444525
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);FMA-VC;F3-7-01;0,034892;47800000;46.9662670023, 2.17489205506
EDF - BUGEY  - EN DECONSTRUCTION;Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC);TFA;TFA;0,0715;50000;46.9662670023, 2.17489205506
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;16;18310000;47.4298825065, 2.38341051201
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;43;5400000000;47.0979201852, 2.57478854096
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-02;0;0;46.8377318004, 2.3145475036
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-15;8,5;783900000;
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-02;0,384;37710000;48.3111537406, -2.87274454735
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-02;0;0;48.3111537406, -2.87274454735
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-15;28,42;3780000000;48.3111537406, -2.87274454735
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;71,82;1010000000;48.3111537406, -2.87274454735
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;7,98;6340000000;48.3111537406, -2.87274454735
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;4,92;5,38E+11;48.4918946765, -2.56677929419
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-03;72;8,83E+12;48.5434519495, -3.39665630364
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-02;36;1,18E+11;48.5434519495, -3.39665630364
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;44;1,35E+13;48.4177889347, -3.0654205796
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-01;15,12;317400000;48.570640482, -2.43743536782
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;9,87;433000000;48.4021229832, -2.57459007377
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;3,285;5300000000;48.3165558544, -2.26221280532
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;188,67;242200000;48.4278156067, -3.33022902899
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;0;0;48.0587997004, -2.61115242529
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;0;0;48.0587997004, -2.61115242529
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-02;0;0;48.3127071067, -3.16619085697
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;12,013;10520000000;48.3390162878, -3.10590902376
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;9,584;80000000000;48.3390162878, -3.10590902376
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-02;7,1003;28780000000;48.2893307063, -2.15354716988
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;0,069;51000000;48.4911018678, -2.60093548091
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;5,48;2940000000;48.4631281548, -2.95240095257
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;4,3815;1,25E+12;48.240846519, -3.12384718726
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-01;0,4186;1,25E+12;48.4202509181, -2.65749434582
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;2,69339;303600000;48.2230348395, -3.39546023136
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;0;946100000;48.6043651879, -3.02018571116
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;0;1,53E+11;48.4021229832, -2.57459007377
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-02;39,164355;1,85E+12;48.7780831384, -3.04377217801
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;82,97348;1,43E+11;48.364832209, -2.4016717137
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;79,78368;8,55E+11;48.3357874743, -2.96159798694
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-15;13,43034;909600000;48.3357874743, -2.96159798694
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;174,48768;8190000000;48.3186793609, -3.06377017313
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;2,05577;2340000;48.3186793609, -3.06377017313
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;20,46;227600000;48.5606651502, -2.37515540403
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-01;2,9913;41760000000;48.5606651502, -2.37515540403
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;9,71022;20880000000;48.5606651502, -2.37515540403
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;1,535248;1,46E+11;48.5606651502, -2.37515540403
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-03;74,64132;8,32E+12;48.5606651502, -2.37515540403
